,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,Mpz,Apod,Glycam1,Apoe,Snhg11,Snhg11,Atp1b2,Nefl,Apoe,Plp1,Snap25,Sst,Igfbp7,Apoe,Snhg11,Ptgds,Apoe,Plp1,Basp1,Apod,Plp1,C4b,Ywhag,C1qa,Cd74,Cd74,Acta1,Ighm,Nefm,Col1a2
1,Pmp22,Plp1,Itgal,Csf3r,Snap25,Ly6h,Apoe,Nefh,Nap1l5,Apoe,Vsnl1,Nap1l5,Vim,Cldn11,Apoe,Apod,Col1a2,Cnp,Apoe,Apoe,Cldn11,Apoe,Apoe,Apoe,Apoe,Ighm,Tnnt3,Igkc,Stk10,Col1a1
2,Prx,Trf,Hbb-bs,Mafb,Atp1b1,Hap1,Bcan,Nefm,Atp1b1,Id4,Eno2,Camk2a,Pltp,Sirt2,Basp1,Igf2,Col1a1,Ugt8a,Zwint,Igf2,Mag,Vim,Cplx1,Cd9,H2-Eb1,H2-Eb1,Tpm2,Jchain,Serinc5,Col3a1
3,Apod,Hapln2,Hba-a2,Gpnmb,Atp1a3,Cacna2d1,Gpr37l1,Ywhag,Map1b,Hapln2,Nefh,Tac1,Spock2,Trf,Baiap3,Col1a2,H2-Eb1,Mog,Ly6h,Col1a1,Apod,Id4,Slco1a4,Mafb,H2-Ab1,H2-Ab1,Atp2a1,Col1a1,Coro6,H2-Eb1
4,Plekha4,Klk6,Lyz2,Tyrobp,Nap1l5,Baiap3,Slc6a11,Map1b,Bcan,Ushbp1,Kcnc3,Camkv,Col4a1,Mag,Ly6h,Aebp1,Igf2,Hapln2,Ncdn,Col1a2,Ptgds,C3,Slc6a1,Tyrobp,C1qa,Igkc,Tnnc2,Col1a2,Mdh1,Igf2
5,Col1a2,Mag,Trac,Lyz2,Basp1,Sst,Slc7a10,Snap25,Uchl1,Ccdc88b,Camk2a,Hpcal4,Cldn5,Cnp,Hap1,Col1a1,Col3a1,Ermn,Slc6a11,Col3a1,Cnp,Igfbp7,Ttc28,Unc93b1,H2-Aa,Ighd,Ckm,Lyz2,Mog,H2-Ab1
6,Aatk,Cldn11,Trbc2,Card9,Ywhag,Vsnl1,Fgfr3,Uchl1,Atp1a3,Tyrobp,Thy1,Baiap3,Slc2a1,Phldb1,Cacna2d1,Igfbp2,H2-Ab1,Trf,C1qa,Igfbp7,Apoe,A2m,Kit,Aif1,Lyz2,H2-Aa,Pvalb,Igha,Tmeff2,Lyz2
7,Ahnak,Cnp,Ccl19,Cyth4,Sncb,Camkv,Nefl,Atp1b1,Aplp1,Inpp5d,Nrgn,Cdh8,Egfl7,Id4,Begain,Vtn,Lyz2,Opalin,Begain,C3,Phldb1,Myoc,Adgrf5,Lyz2,C3,Man1a,Mylpf,H2-Eb1,Kifc2,Dcn
8,Cd9,C4b,Ptprc,Unc93b1,Zwint,Penk,Slc6a1,Cplx1,Zwint,Ddit4l,Stmn3,Pdyn,Ahnak,Car2,Camkv,Col3a1,Igfbp2,Olig1,Camk2a,C4b,Trf,Rapgef3,Abcc6,Ctsz,Col1a1,Coro1a,Tnni2,Col3a1,Vsnl1,Col6a2
9,Col4a1,Aplp1,Lck,Fyb,Uchl1,Basp1,Ntsr2,Tubb3,Eef1a2,Col9a3,Scn4b,Ebf1,Itm2a,Hapln2,Sst,Fn1,Dcn,Tspan2,Tac2,Trf,Aplp1,Fmod,Slc2a1,Csf3r,Vim,Cd37,Tcap,Igf2,Eno2,Bgn
10,Vim,Ugt8a,Cd2,Inpp5d,Eef1a2,Tac2,Gpam,Sncg,Cplx1,Paqr5,Penk,Calb1,Rgs5,Ddr1,Camk2a,Ccn2,Cfh,Tmem63a,Baiap3,Vim,Mal,H2-K1,Sv2b,Gpnmb,Col3a1,H2-Ob,Mb,H2-Ab1,Sprr1a,Aebp1
11,Smtn,Ermn,Egfl7,Ctsz,Eno2,Kifc2,Tril,Stmn2,Nat8l,Foxq1,Nat8l,Cacng5,Klf2,Aatk,Ptprn,Mgp,H2-Aa,Carns1,Tac1,Col4a1,C4b,Cxcl12,Irf8,Rasal3,Col1a2,Shisa5,Casq1,H2-Aa,Trim7,Ccl19
12,Cfap100,Carns1,Nrgn,Cxcl16,Nat8l,Camk2a,Paqr6,Vgf,Tac2,Hist1h2ap,Got1,Snca,Sgms1,Nrbp2,Penk,Fmod,Bgn,Enpp6,Penk,Klk6,Car2,Als2cl,Arhgap29,Irf8,Igfbp7,Cd19,Myh2,Igkv5-45,Sp100,Ccn2
13,Sema3b,Sec14l5,Myh11,Cfh,Vsnl1,Arpp21,Rapgef3,Vamp1,Camk2a,Naip5,Tac2,Tac2,Cald1,A2m,Gria2,Zic2,Aebp1,Plekhh1,Hpcal4,C1qa,Aatk,Hspb8,Nnat,H2-Ab1,Igf2,Arhgef1,Myh1,Cd74,Lrmp,Maf
14,Drp2,Mog,Dgka,Bin2,Kcnc3,Car11,Itih3,Acly,Sst,Gpr17,Cabp7,Cpne4,Nnat,Myoc,Dbn1,Slc6a20a,C3,Tnr,Myt1,Dcn,Sirt2,Ntsr2,Cabp7,Sipa1,Tyrobp,Fcer2a,Ttn,Shisa5,Pgbd5,Il21r
15,Dusp15,Nrbp2,Ddit4l,Aif1,Nefl,Kcnt1,Ptch1,Kcnc3,Slc6a11,Tmem88,Pcp4l1,Hbb-bt,Cavin1,Aif1,Celf5,Dcn,Vtn,Efnb3,Mafb,Lyz2,Nrbp2,Igf2,Cpne6,C3,Apod,Syk,Hspb6,Gpnmb,Ift81,Slc1a5
16,Col1a1,Aatk,Sept1,Bst2,Cplx1,Begain,Gpld1,Nat8l,Vstm2l,Itga1,Slc6a11,Ccdc172,Id1,Ermn,Tac2,Foxd1,Col4a1,Adamts4,Vstm2l,Cfh,Hcn2,Fgfr3,Sox18,H2-K1,Unc93b1,Tbc1d10c,Fhl1,Coro1a,Shisa7,Cfh
17,Col3a1,Sox10,Vwf,Ncf1,Thy1,Psd,Id4,Stmn3,Slc7a10,Prom1,Hpcal4,Nmu,Esam,Tyrobp,Kcnt1,Thbs1,Gpnmb,Klk6,Gap43,Ahnak,Mog,Glis3,Sema3g,Itgam,Mafb,Trac,Obscn,Arhgap30,Crtac1,Arhgef1
18,Hspg2,Mal,Zap70,Rasal3,Syp,Nap1l5,Prodh,Thy1,Lmx1b,Ly6a,Zwint,Ebf2,Tagln,Olig1,Kifc2,Islr,Sned1,Acot1,Aif1,Gpnmb,Ddr1,Asap3,Crabp1,Cebpa,H2-K1,Cd79b,Myl2,Arhgap45,Cd52,Fmod
19,Ogn,Tmem63a,Cfap65,Tlr2,Ndrg4,Celf5,Car14,Eef1a2,Klf4,Kcnj14,Pnmal2,Gda,Myh11,Cd300lf,Arpp21,Isyna1,Maf,Gjc2,Camkv,Vtn,Ugt8a,Col9a3,Vcan,Cyth4,Gpnmb,Il21r,Apobec2,Man1a,Rgs4,Col6a3
20,Cldn19,Gjc2,Kcnc2,Spp1,Dnm1,Cacna1b,Syne1,Atp1a3,Foxq1,Kank3,Sncb,Adcyap1,Acta2,Itgam,Car11,Bmp6,Ccn2,Ttyh2,Sncb,H2-Eb1,Hapln2,Cldn11,Slfn5,Ucp2,Ly6e,Arhgap30,Actn2,Dcn,Eng,Islr
21,Hspa12a,Fa2h,Skap1,Itgam,Ncdn,Dbn1,Col11a2,Prph,Baiap3,Apoc1,Nrn1,Kif4,Flt1,Klk6,Carmil3,Aldh1a2,Serping1,Gpr17,Snca,Bgn,Kndc1,Nnat,Sox11,Ptprc,C4b,Arhgap45,Tnnt1,Cxcl12,Foxj1,Sned1
22,Dcn,Kndc1,Pdyn,Hpcal4,Peg3,Ptprn,Sox9,Ahnak2,Tac1,Sptssb,Itih3,Gpr83,Sox17,C3,Hpcal4,Hbb-bs,Hspg2,Rnf122,Nrgn,Tyrobp,Tmeff2,Tlr2,Rasl12,Fyb,Cfh,Swap70,Car3,Nfkb2,Lamp5,Col6a1
23,Sox10,Efnb3,Ccn2,Gbp5,Nefm,Celf3,Sox2,Ndrg4,Tbx1,Ltbp4,Flt1,Kcng2,Ptprb,Mafb,Ahi1,Nr2f2,Tyrobp,Tmem88b,Cbarp,Igfbp2,Efnb3,Gpnmb,Cd300lf,Sh3bp2,Cd9,Ly6e,Fabp3,Sned1,Epha10,Glycam1
24,Maf,Cdk18,Slc30a10,Sat1,Pdcd7,Gria2,Car2,Apoe,Tek,Cfap74,Atp6v1g2,Colgalt2,Tpm2,Gpr17,Ncdn,Foxc1,Pltp,Rras2,Gpr37l1,Mgp,Nfasc,Trf,Itgae,Itgb2,Aif1,H2-Q6,Mybpc1,H2-K1,Fam43a,Col5a1
25,Ncmap,Car14,Pax5,Dock2,Ptprn,Ahi1,Nfasc,Spock2,Nrgn,Fas,Cck,Mycl,Id4,Bmf,Scg2,Slc6a13,Nid1,Myrf,Sst,Mafb,Ermn,Ano1,Nmu,Ptpn6,Ucp2,Ptpn6,Ckmt2,H2-Q6,Hspb8,Serpinh1
26,Sema4c,Nkx6-2,Fcer2a,Car4,Map1b,Cbarp,Ccdc85a,Tppp3,Hpcal4,Csf3r,Rab3a,Nrgn,Endog,Ccn5,Cacna1h,Igfbp7,Serpinh1,Tmeff2,Syt4,H2-K1,Sox10,C1qa,Spi1,Ccdc88b,Ctsz,Acap1,Tnnc1,Trbc2,Ebf4,Zic2
27,Arhgap19,Gjb1,Rsph10b,Cxcl10,Spock2,Ncdn,Lfng,Eno2,Kcnip2,Serpine1,Kcnc1,Th,Vtn,Mia,Vstm2l,Cfh,Gjb2,Neurl1b,Tyrobp,Nid1,Cd9,Gdpd2,Ret,Card9,Coro1a,Ptprc,Cox8b,Dennd1c,Mpzl1,H2-Aa
28,Ugt8a,Phldb1,Igfbp2,Hba-a2,Vamp1,Hpcal4,C4b,Syp,Fabp3,Gjd2,Syt6,Ccdc173,Ltbp4,Tgm1,Rims1,Sned1,Col6a2,Dao,Itgam,Pltp,Nkx6-2,Gadd45g,Emp2,H2-Eb1,Arhgap45,Ciita,Mylk2,Cd37,Carmil2,Nid1
29,Pmp2,Tppp3,Izumo1r,Adap2,Haghl,Unc13a,Cplx1,Cend1,Calb1,Tie1,Map7d2,Galr1,Odf3b,Cldn14,Tspoap1,Ogn,Arhgap45,Tnfaip6,Vat1l,Zic2,Enpp2,Bgn,Hspa12b,Arhgap45,H2-Q6,Siglecg,Hbb-bs,Prkcd,Bgn,Ahnak
30,Itgb4,Enpp2,Cfap69,Eng,Stmn3,Cacna1g,Ddr1,Kcnk9,Ebf2,Phf7,Ncdn,Nmur2,Syne1,Plxnb3,Unc13a,Bgn,Ahnak,Pstpip2,Id4,A2m,Gjc2,Pdlim4,Tfb2m,Dock2,Ptpn6,Col1a2,Trdn,Zfp36,Map3k9,Serping1
31,Mal,Rab37,Lrrc43,Cebpa,Kifc2,Vat1l,Nwd1,Epb41l3,Ankfn1,Icosl,Cdh8,Hbb-bs,Tm4sf1,Itgae,Spock3,Ahnak,Col6a1,Colgalt2,Slc6a1,Bmp6,Klk6,Cd82,Matn1,Ncf1,Spp1,Unc93b1,Myh4,Cfh,Tmem132a,Thbs1
32,Art3,Plxnb3,Fam216b,Apoc1,Nefh,Podxl2,Snap25,Syt2,Tmem114,Abcb1a,Cplx1,Tex26,Slc7a5,Enpp6,Psd,Lrrk1,Col5a1,Hoxc13,Ctsz,Myoc,Sez6l2,Cxcl10,Fgfr3,Ctsh,Rasal3,Cd79a,Jph2,Ahnak,Tmem88b,Ifi30
33,Ddn,Enpp6,Gimap4,Prelp,Snrpn,Dennd6b,Nefh,Zwint,Cacng5,Il12rb1,Ube2ql1,Otof,Ccdc153,Rxfp1,Grm7,Pi16,Fmod,Vcan,Bcl2,Id4,Cntn2,Col11a2,Mafa,Sat1,Arhgap30,Sipa1,Lmod2,Unc93b1,Id1,Pou2af1
34,Vat1l,Plekhh1,Pdgfrb,Hbb-bs,Rab3a,Peg3,Hif3a,Anxa6,Pou4f1,S100a4,Dkk3,Mroh5,Myl9,Inava,Podxl2,Arhgap29,Itgb2,Abcc9,Matn4,Serping1,Tspan2,Slc44a1,Bmf,Tlr2,Shisa5,Ikzf3,Tnni1,Stk17b,Prkcd,Cd19
35,Cdkn1a,Adamts4,Prom1,Itk,Rasgrf1,Pnck,Vegfa,Atp1a1,Matn4,Ccn5,Ndn,Dmkn,Foxj1,Syt8,Celsr3,Itih2,A2m,Derl3,Syt5,Fmod,Slain1,Bcan,Hpcal4,Adap2,Trac,Col1a1,Map3k20,C3,Opalin,Srgn
36,Col5a1,Sez6l2,Tspan32,Stat1,Coro6,Tspoap1,Sirt2,Disp2,Grasp,Ccl4,Nyap2,Sstr2,Igf2,Rassf10,Dmtn,Cyp26b1,H2-Q6,Ccl22,Ngef,Slc6a13,Olig1,Paqr6,Sctr,Slc15a3,Prkcd,Ptk2b,Col4a1,Ptpn6,Zfp36,Lsp1
37,Emid1,Dcn,Il4i1,Gbp2,Rap1gap,Cacna1h,Gdpd2,Scn4b,Slc44a5,Slco1c1,Ankfn1,Myh4,Rbpms,Sp110,Adgrb1,Hba-a2,Syk,Neu4,Caly,Cemip,Sgk1,H2-Ab1,Mafb,Bin2,Csf3r,Stk17b,Myo18b,Lcp1,Flt1,Col4a1
38,Mlip,Itgb4,Sox17,Tap1,Stxbp1,Vstm2l,Slc24a4,Uts2,Cabp7,Cxcl9,Tpbg,Gmnc,Cfap65,Higd1b,Ebf1,Serping1,Aif1,Perp,Kcnj9,Cald1,Tmem63a,Adamts20,Spaar,Spp1,Ptk2b,Cd72,Lpl,Cd79b,Lrp8,Trbc2
39,Sncg,Mob3b,Ccdc81,Atf3,Vgf,Scg2,Vamp1,Scn8a,Scarf1,Ccdc141,Scrt1,Ctse,Eng,Cyth4,Rhbdl1,Crispld2,Il34,Gbp4,Mafa,Tagln,Ttyh2,Sox9,Rgs9,Fn1,Inpp5d,Klf2,Myom2,Trac,Tmem25,Lrmp
40,Gldn,Tmprss5,Ttc21a,Isg15,Atp6v1g2,Lmx1b,Ngef,Cadm3,Slco1c1,Myoc,Adcyap1,Chtf18,Cfap100,Socs1,Crocc,Bmp4,Cxcl12,Cldn14,Itih3,Hspg2,Opalin,Serping1,Plscr5,Spi1,Cyth4,Zfp36,Alpk3,Bgn,Dusp15,Sbspon
41,Sptbn5,Slain1,Bcl2l12,Ccn5,Tspoap1,Eef1a2,Als2cl,Rab3a,Als2cl,Efcab11,Kcnip2,Eps8l2,Dock6,Prelp,Gprasp2,Mpzl2,S100a4,Klf5,Tmem130,Prelp,Pllp,Aebp1,Fcgr4,Inpp5d,Ptprc,Rasal3,Myot,Trbv16,Epb41,H2-Eb2
42,Nid1,Nid1,Slc1a5,Tnfrsf1b,Bex2,Lmtk3,Atp13a4,Ube2ql1,Ccl4,Pld4,Pcdh8,Cacng6,Fn1,Acad12,Ccdc30,Gjb2,Mafb,Masp1,Unc93b1,Col18a1,Sema4d,Tap2,Clspn,Plau,Irf8,Gimap8,Chrne,Swap70,Tril,Anxa11
43,Sema6c,Ttyh2,Adgrl4,H2-Q6,Cabp1,Camk2b,Gadd45g,Calca,Raver2,Galr3,Nts,Slc4a1,Mgp,Zfp764,Lmtk3,Wnt6,Cxcl16,Tbata,Snap47,Aebp1,Myrf,Igfbp2,Sncg,Pld4,Bgn,Ier5,Hba-a2,Slc1a5,Rgs5,Pi16
44,Sbspon,Tmem125,Wdr49,Cybb,Ptprs,Sgsm1,Hcn2,Rtn1,Adgrf5,Ccn1,Stxbp1,Zim1,Slco1a4,Bmp6,Vsnl1,Slc1a5,Sipa1,Zfp108,Zc3hav1,Acta2,Sec14l5,Aif1,Gjd2,Lpl,Maf,Traf3ip3,Art1,Vim,Gap43,Hbb-bs
45,Serpinh1,Fam43a,Dnah11,Dennd1c,Scn8a,Rab3c,Cabp7,Ckmt1,Rasip1,Pltp,Scg2,Marveld3,Mapk15,Timp1,Dnm1,Ecrg4,Eln,Aldh3b2,Celf3,Tlr2,Fa2h,Stat1,Ccm2l,Lcp1,Itgb2,Pax5,Hjv,Plekha4,Sgms1,Atp6v0a4
46,Slc36a2,Car2,Ptprcap,Ttll3,Syt2,Zwint,Slc2a1,Vat1l,Syt5,Chodl,Nsg1,Rnf125,Col1a2,Zfp994,Ebf2,Lsp1,Man1a,Nhlh1,Csf3r,Col13a1,Plekhh1,Id1,Tm4sf1,Prkcd,Syk,Grk6,Cox6a2,Ly6e,Gprasp2,Itk
47,Plekhg2,Tmeff2,Swap70,Itgb2,Cend1,Crocc,Ywhag,Cabp7,Ywhaz,Isg20,Calb2,Trh,Pcp4l1,Kif4,Pitpnm1,Dock6,Kcnn4,Cxcr3,Vcan,Pi16,Tmod1,Serpinh1,Gpr17,Apoc1,Cd52,Akna,Abra,H2-Q7,Pitpnm1,Abracl
48,Fa2h,Aldh1l2,Mapk15,Hck,Epb41l3,Rasgrf1,Grin2c,Slc5a7,Syt1,Slc26a10,Mafa,A3galt2,Ly6e,Kif6,Cacna1b,Abcb1a,Foxc1,Qrfprl,Cables1,Ctsz,Tmem88b,Gpr37l1,Neurl1b,Themis2,Dcn,Cd52,Ankrd2,Arhgef1,Sox2,Cavin1
49,Pllp,Cntn2,Stap1,Rsad2,Podxl2,Gprasp2,Col27a1,Chga,Plaat5,Rgs1,Slc6a5,Abra,Rarres2,Acbd7,Spock2,Col6a2,Lilrb4a,Slc17a7,Pcp4l1,Serpinh1,Car14,Col1a1,Camkv,Fmod,Bin2,C3,Myh7,Iglc1,Ina,Lrrk1
50,Col4a2,Nkx2-9,Unc5cl,Oas1a,Hap1,Pitpnm1,Col9a3,Nsg1,Lefty1,Neu4,Nwd1,Syt5,Ccdc114,Ngp,Syt7,Cemip,Unc93b1,Calr4,Gpr17,Ccn2,Slc44a1,Ccdc74a,Fyb,Ptk2b,Ighm,Map4k1,Sypl2,Txnip,Chga,Acap1
51,S100a4,Prima1,Tbc1d10c,Cmpk2,Clstn3,Gap43,Gpr162,Hspb8,Fignl1,Ttn,Gad2,Stra6,Ttll3,Ccl3,Tmem191c,Sod3,Tbc1d10c,Gdf10,Nts,Itgam,Plxnb3,Nlrc5,Tie1,Lgals3,Sh3bp2,Gimap4,Synpo2,Apobec3,Fhl1,Sept1
52,Nr2f2,Rnf112,Tagln,Kcnj8,Rtn1,Rims1,Mical2,Mdh1,Kif14,Hspb6,Sox11,Col6a6,Hspa12b,Nyx,Car10,Gpc3,Aldh1a2,Tex29,Spi1,Aldh1a2,Gjc3,Col5a1,Myl9,Apbb1ip,Fyb,Apobec3,Tacc2,Mafb,Cacna2d1,Gjb2
53,Col5a3,Pllp,Tekt1,Cxcl9,Ndn,Dmtn,Pdlim4,Pcp4l1,Echdc3,Cxcl16,Oas1a,Zfp974,Ecrg4,Crb2,Ptprn2,Smtn,Mgp,Clhc1,Ebf2,H2-Aa,Clmn,Sned1,Sp110,Nkx2-2,Ctsh,Tnfrsf13c,Ddit4l,Il21r,Man1a,Fam43a
54,Carns1,Dusp15,Foxd1,Degs2,Adgrb1,Car10,Haghl,Map7d2,Scube2,Rad54l,Chgb,Tesmin,Sox18,Rnf122,Calb2,Olfml2a,Col18a1,Cd8a,Gal,Inpp5d,Adamts4,Sema3b,Cfap74,H2-M3,Pld4,B4galnt1,Trim55,Hspg2,Rims1,Pax5
55,Sec14l5,Cd82,Ngp,Baz1a,Lrp1b,AI593442,Cables1,Kcnab1,Emp2,Pi15,Pcp4,Fignl1,Zic2,Cd7,Sept5,Col6a1,H2-K1,Slc26a10,Psd,Crispld2,Lgi3,Tap1,Rsph9,Rac2,Man1a,Lrmp,Tcf15,Syk,Ank1,Nr2f2
56,Itpr3,Cldn14,Syt1,Atp13a5,Ubap1l,Ccdc85a,Eef1a2,Cabp1,Zfp975,Ropn1l,Stac2,Pth2r,Cfap44,Naip5,Gpr162,Cyp1b1,Coro1a,Il18r1,Pdyn,Fbln2,Col9a3,Adap2,Nkx2-2,Cd300lf,Il21r,Ltb,Itgb1bp2,Ciita,Sh3gl2,Ciita
57,Gas2l3,Myrf,Ltbp1,Stat6,Sez6l2,Ppfia4,Cd9,Rgs4,Nts,Chn2,Shox2,Myo1a,Ccdc39,Hist1h3a,C1qtnf4,Prg4,Serpinf1,Plaat5,Bcl11a,Apoc1,Olig2,Shroom3,Adamts20,Plcg2,Trbc2,Sell,Best3,Myoc,Dbn1,Tnfrsf1b
58,Fxyd6,Tprn,Ccnd3,Irf7,Camk2b,Celsr3,Pltp,Sez6l2,Fli1,Clec18a,Arc,Chrne,Acvrl1,Vsig2,Dpysl4,Abcc6,Glycam1,Tmem220,Pdgfra,Thbs2,Tprn,Ttll8,Hist1h2ap,A2m,Cebpa,H2-K1,Plin4,Rcsd1,Acly,Gimap3
59,Col28a1,Srpk3,Slfn5,Rnf213,Klc2,Kcnip2,Adamts20,Got1,Mybpc1,Nrk,Eef1a2,Olfr691,Lama5,Id1,Map6,Spp1,Cd52,Cnn1,Sall3,Gjb2,Sox2,Cebpa,Cbln1,Junb,Cd37,Lyz2,Ptp4a3,Vtn,Slc7a10,Cxcl12
60,Il34,Col16a1,Sh2d2a,Ifi209,Begain,Sept5,Rgs5,Sv2c,Vcan,Erbb3,Trh,Tll2,Flna,Oas3,Gap43,Prom1,Nr2f2,Sp110,Pld5,Txnip,Serinc5,Gpr17,Rab3c,Lhfpl2,Rasa4,Ucp2,Mlf1,Fcer2a,Snap47,S100a4
61,Txnip,Gpr37,Hbb-bt,Cd52,Penk,Srrm3,Repin1,Hapln4,Adcyap1,Tslp,Camkv,Prg4,Mylk,Nkx6-2,Cbarp,Serpinh1,Rasa4,Smim38,Nyap2,Hspb1,C3,Col27a1,Mycl,Sema4d,Ifi30,Col3a1,Rbm24,Pou2af1,Olig1,Mgp
62,Erbb3,Hcn2,Dnaaf3,Ccl4,Grin1,Syt7,Spock2,Cd24a,Sstr2,Rfx2,Nmu,Ngp,Ucp2,Sstr2,Mast1,Srgn,Synpo2,Prg4,Fgfr3,Nr2f2,Carns1,Herc6,Zswim1,Vcan,Igkc,Carmil2,Kcnj2,Tbc1d10c,Dmtn,Col15a1
63,Kcna1,Sox2,Pth2r,Lcp2,Nsg1,Ebf2,Mdh1,Calb2,Akap14,Ifit2,Neu4,Cenpf,H2-K1,Gtse1,Nyap2,Cavin1,Lrmp,Gck,Tnr,Adap2,Gjb1,Ncf1,Fam110a,Atf3,Dock2,Dgka,Myom1,Cd52,Syt2,Ecrg4
64,Shc4,Plekha4,Ets1,Rasgrp3,Ank1,Grm7,Ptgds,Hcn2,Pcdhb4,Ppfibp1,Npy,Gtse1,Smtn,Ifng,Sgsm1,Lox,Sema3b,Piezo2,Shisa7,Aif1,Rasal1,Prelp,Clec4a3,H2-Q6,Itgam,Vars,Anxa11,Dgka,Nsg1,Hba-a2
65,Col15a1,Slc44a1,Dpt,C3,Dmtn,Rnf112,Igsf11,Chodl,Ggt1,Zpbp,Mtcl1,Aloxe3,Abcb1a,Bmp4,Slc6a1,Sdc1,Zic2,Echdc3,Rsph9,Islr,Zfp536,Col1a2,Gimap6,Herc6,Nlrc5,Sema4d,Pi16,Gimap4,Klc2,Swap70
66,Col27a1,Nkx2-2,Cyp26b1,Ccl3,Dbn1,Nrgn,Lrp1b,Chat,Higd1b,Lhcgr,Gpr165,S100a8,Ttc21a,Hbb-bt,Tac1,Cxcl12,Myof,Tlcd2,Fos,Cxcl12,Tppp3,Drp2,Ccl4,Kcnj2,Stat1,Sept1,Prkag3,Itgal,Clstn3,Hspg2
67,Plekha7,Wnt6,Sh2d4a,Plau,Kcnc1,Carmil3,Nat8l,Ret,Tmem88,Fam124b,Arpp21,Sstr3,Foxc1,Pla2g4f,Dennd6b,Sorbs3,Col6a3,Pik3r3,Ccl5,Csf3r,Cd82,Klk6,Pdyn,Arhgap30,Tap1,Il4i1,Pitx2,Igfbp7,H2-K1,Ms4a1
68,Sema4g,Pstpip2,Gper1,Slc15a3,Sh3gl2,Shisa7,Aifm3,Slc18a3,Parp16,Tmem177,Hsf2bp,Lmod2,Apcdd1,Nrk,Caly,Snai1,Islr,Galr1,Eng,Cyth4,Id4,Prune2,Aldh3b2,Neurl3,Lpl,Trbc2,Ngp,Kcnn4,Hap1,Cd2
69,Efcc1,Piezo2,Amigo2,Cebpd,Ahi1,Lrp8,Olig1,Snrpn,Tgm1,Itgae,Teddm2,Fank1,Sema7a,Sapcd2,Rnf112,Prkag3,Pear1,Zfp185,Sapcd2,Id1,Gpr37,Rasa4,Slc30a2,Bmf,Col4a1,Rcsd1,Mypn,Lsp1,Syne1,Nlrc5
70,Olfml2a,Aldh1a2,Itpr3,Vcan,Cbarp,Adgrb1,Bbox1,Ptprn,Ccl2,Ebf2,Nppc,Nek2,Serpinh1,Hpn,Cacna1g,Il34,Twist1,Cd7,Syt1,Ano1,Atp1a1,Ccdc162,Pla2g4f,Tgfb1,Sipa1,Gimap3,Klhl40,Aebp1,Sema4d,Cytip
71,Col18a1,Col13a1,Traf3ip3,Tgm1,Scn4b,Inha,Notch3,Ecel1,Gpr83,AI182371,Khdrbs2,Tlcd2,Cxcl12,Cd300lg,Syngap1,Mrgprh,Ptprc,Efcab7,Ctsh,Hapln2,Hs3st1,Plin4,Dmrt2,Lilrb4a,Ccdc88b,Arhgdib,Cd300lg,Lrrk1,Bex2,Eln
72,Crispld2,Sorbs3,Mecom,Iigp1,Rogdi,Ebf1,Ttll8,Sept5,Gbp9,Kif4,Colec10,Klrb1a,Fam216b,Clec4a3,Celf3,Zic1,Tlr2,Zfp975,Nppc,H2-Ab1,Plin4,Ctsz,Calca,Ppp1r18,Arhgef1,Ets1,Cacng6,Ucp2,Rtn1,Arhgap45
73,Sorbs3,Fbln2,Plin4,Hist1h1c,Pnmal2,Snrpn,Slc7a5,Prune2,Unc5d,P3h2,Doc2b,Asgr1,Tagln2,Slc7a1,Ngef,S100a8,Ciita,Epha1,Npy,Tm4sf1,Nkain1,Cebpd,Atp2b4,Zfp36,Ier5,Bin2,Mrln,Map4k1,Epb41l3,Foxd1
74,Gpc3,Itih2,Il21r,Higd1b,Unc13a,Zcchc18,Adgrb1,Syt4,Cpa6,Il18r1,Bbox1,Cfap57,Crocc,Tslp,Slc6a11,Asgr1,Lcp1,Degs2,Adgrl2,Myof,Tnni1,Nkx2-2,Khdrbs2,Cd52,Sema4d,Itgal,Fxyd6,Ptprc,Ndn,Rcsd1
75,Igf2,Tmem88b,Ncaph,Apoc4,Rims1,Tle2,Asap3,Rab3b,Krt18,Txndc2,Vstm2l,Pfkfb1,Isyna1,Phf11c,Cabp1,S100a9,Fbln2,Vipr2,Hspa12b,Cxcl16,Cdk18,Ezr,Fosb,Cfh,H2-Q7,H2-Oa,Angptl1,Col4a1,Rogdi,Ogn
76,Six5,Rapgef5,Cfap299,Ccl5,Kcnq2,Rtn1,Sncb,Mcam,Slc26a7,Ctla2b,Hcrtr1,Cfd,Ccdc141,Tuba1c,Lmx1b,Cebpd,Slamf6,Gjb1,Ltbp1,Aox3,Igsf11,Gbp2,Cyp3a13,Cd37,Aebp1,Chst3,Cacna1s,Traf3ip3,Gpr37l1,Sod3
77,Shroom3,Pkd2l1,Efcab7,Perp,Ly6h,Ptprn2,Adam11,Spp1,Ttc12,Chrna3,Caly,Cabyr,Pecam1,Pirb,Cit,Hsd17b1,Apbb1ip,Tctex1d4,Flt1,Lpl,Mcam,Atp2b4,Lhcgr,Rcsd1,Hck,Ifi30,Pfkfb1,Serping1,Slc6a1,Slc6a13
