,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1217,Ccl12,Lrrk2,Snca,Sprr1a,Sctr,Tmprss5,Chn2,Lhfpl2,Ms4a1,Tnni1,Casq1,Slc22a23,Nms,Kcnj6,Slc25a35,Kcnn3,Ripor2,Efcc1,Tcim,Chat,Ntn4,Itgam,Il12rb1,Tnni1,Gldn,Lrrc23,Tpbg,Btk,Cemip2,Calca
1218,Cfap65,Dusp4,Otof,Ralgps2,Iqca,Cep68,Nr4a3,Zswim1,L1cam,Slc15a3,Cfap65,Abcc8,Fstl4,Itgb7,Ttc28,Cd22,Rnf2,Vwc2,Khdrbs2,Acss3,Hist1h1b,Tmem125,Bcl11b,Myo1c,Zmynd10,Nanos1,Ccn2,Lrrc36,Ttll8,Prodh
1219,Pdlim4,Irx3,Npas1,Kit,Ifi206,Rhbdf2,C1qtnf3,Ccser1,Kcnn4,Rnf207,Dusp4,Hvcn1,Casz1,Kcnip2,Aox3,Mfsd5,Lrrc10b,Fos,Wtip,Cd40,Hmgcs2,Gper1,Baz1a,Flrt1,Drd2,B3gnt4,St8sia5,Slc15a3,Hspb6,Bmp4
1220,Haao,Ccl19,Grik1,Rims2,Tlcd2,Tmem161b,Togaram2,Mppe1,Epha8,Pnma3,Ccl5,Irf7,Ctsz,Trim66,Otp,Mfap3l,Togaram2,Ecrg4,Lrg1,Gbp5,Hhex,Slc36a2,Paqr6,Slfn2,Spag6l,Crb2,Ccm2l,Dnah6,Grasp,Unc5d
1221,Hspa2,Glis3,Eps8l1,S100a4,Cacna1s,Mndal,Ccl5,Tmem161b,Emid1,Serping1,Fcmr,Wnk4,Gpr139,Rnf213,Ninj2,Pld5,Npas1,Nts,Ncf4,Wnk4,Pim1,Ccdc141,Kcnip2,Lsp1,Hes1,Gal,Six5,Colgalt2,Lpl,Gpc3
1222,Cd22,Tesc,Rassf10,Slc18a3,Hic1,Sctr,Dnali1,Fam222a,Ddn,Irf8,Shroom3,Lcp2,Tnfsf9,Aldh1a2,Slc10a4,Pou2af1,Med7,Nrgn,Adgrb2,Ttc21a,Chodl,Stra6,Ecel1,Emp2,Gin1,Cfap61,Ecrg4,Vit,Usp18,Daxx
1223,Serpina3g,Pipox,Iglc1,Chat,Dmkn,Sema3g,Syt2,Epsti1,Sv2b,Bst2,Rasgrf2,Myof,Naip5,Mob3b,Obscn,Rhoh,Mb,Myo1g,Col6a2,Il1rapl1,Sprr1a,Gpr165,Ccdc88b,Grm8,Dnah11,Ccdc33,Sigirr,Abcc6,Lmx1b,Tfb2m
1224,Grid2ip,Sh2d2a,Star,Wdr54,Spaar,Isyna1,Piezo1,Lrrk2,Snca,Gjb2,Lsp1,Nrn1,Cd7,Chst3,Stat4,St8sia5,Rassf10,Col9a2,Grm8,Mycbpap,Rsph1,Fstl4,Fam169b,Tfb2m,Kif6,Dlec1,Tinagl1,Gprc5c,Lgals3,Nos1
1225,Inhba,H2-DMb1,Zswim1,Ccdc153,Oas3,Sclt1,Ccn5,Hrh3,Zap70,Sell,Fam169b,Sell,Nudt15,Grm8,Ccl4,Sema3g,Gipr,Serpina3g,Tnni2,Sbspon,Slco1c1,Casz1,Mob3b,Pcdh8,Dynlrb2,Asap3,Fam149a,Fam166b,Tpbg,Ddn
1226,Cxcl12,Rnd3,Ano1,Fam131c,Ccn2,Pcolce2,Cbln1,Samd5,Dkk3,Il9r,Irx3,Ttll8,Icos,Pcdh8,Efhc1,Cd40,Eps8l1,Lsp1,Peak1,Baz1a,Ak7,Arhgdib,Crb2,Ddn,Foxq1,Pard6a,Rgs9,Sclt1,Lck,C3
